sample_accession,run_accession,library_layout,read1,read2,read1_md5,read2_md5
SAMEA4762871,ERR2678639,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/ERR267/009/ERR2678639/ERR2678639_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/ERR267/009/ERR2678639/ERR2678639_2.fastq.gz,2507040b5c6575a09f575644a9186706,c3ddc10375234de5f3da882a79c3a335
SAMEA4762872,ERR2678640,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/ERR267/000/ERR2678640/ERR2678640_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/ERR267/000/ERR2678640/ERR2678640_2.fastq.gz,2923522f650e92849f19bf412df418b2,5ecb4b324024c15f088b5afa79f61de2
SAMEA4762870,ERR2678638,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/ERR267/008/ERR2678638/ERR2678638_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/ERR267/008/ERR2678638/ERR2678638_2.fastq.gz,27c8fd1c6562504acc2be71689e7d49d,be2958a3106fc69bddc03e3cecb553b1
SAMN07422262,SRR5878348,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/008/SRR5878348/SRR5878348_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/008/SRR5878348/SRR5878348_2.fastq.gz,dcb43e5c674e2a27d9ab6fdbf71d7617,7ee22f85fb8dcd877e0ba5e7ac92e4d9
SAMN07422262,SRR5878360,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/000/SRR5878360/SRR5878360_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/000/SRR5878360/SRR5878360_2.fastq.gz,907fd314c6acceaef73bf8ffa2bbcab7,e7c85598dfa9e0d99c1f27225fe53879
SAMN07422269,SRR5878353,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/003/SRR5878353/SRR5878353_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/003/SRR5878353/SRR5878353_2.fastq.gz,bfa64e916c8e610599fe2a0ffe0155ce,d50d4acbc4ee9210ae9e92ccfb3e3726
SAMN07422269,SRR5878338,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/008/SRR5878338/SRR5878338_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/008/SRR5878338/SRR5878338_2.fastq.gz,704f65819c6346c4050ec05e096d182d,94383cbdb36d22fec88949955a206e5e
SAMN07422272,SRR5878346,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/006/SRR5878346/SRR5878346_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/006/SRR5878346/SRR5878346_2.fastq.gz,f695c03830cd8dfab4b9f04c4e88a199,bdd18fccca13a638f3bc9646e015afe0
SAMN07422272,SRR5878341,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/001/SRR5878341/SRR5878341_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/001/SRR5878341/SRR5878341_2.fastq.gz,f3ea703b94ec8a419852fec5db57ffdb,dda1d8bfb0b77c9d053c9fb60bb3ca67
SAMN07422271,SRR5878347,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/007/SRR5878347/SRR5878347_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/007/SRR5878347/SRR5878347_2.fastq.gz,d7588b7c80e1ed35d75d9798f8b4b406,755cfd8d5641b02334330c72a2e29007
SAMN07422271,SRR5878340,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/000/SRR5878340/SRR5878340_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/000/SRR5878340/SRR5878340_2.fastq.gz,e7933d39e9e04d1eae75ed23004f4090,eb63b2f0d39c601043f95f037b808a7a
SAMN07422268,SRR5878351,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/001/SRR5878351/SRR5878351_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/001/SRR5878351/SRR5878351_2.fastq.gz,a227beec35e3397b42d8783b9a0829f2,9519f80e577e293bd01efd09a1f0dbe5
SAMN07422268,SRR5878354,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/004/SRR5878354/SRR5878354_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR587/004/SRR5878354/SRR5878354_2.fastq.gz,5a7e86df58b29aa01c3f6411b0cdbc93,5841794ec290664c1ac99f33ed3ed191
SAMN02045559,SRR830337,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR830/SRR830337/SRR830337_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR830/SRR830337/SRR830337_2.fastq.gz,699a0437073a9b18afba2c1a875e5957,f55d7f39a3ea49deb38867b77ad0a7a1
SAMN02045561,SRR830685,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR830/SRR830685/SRR830685_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR830/SRR830685/SRR830685_2.fastq.gz,0a1d804e4fc1275a74901ea75aab74f7,55d341861ee59efeac9cbf7e81b34028
SAMN02045560,SRR830213,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR830/SRR830213/SRR830213_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR830/SRR830213/SRR830213_2.fastq.gz,6f6e53bf85eef7fdc6b82b8c7d92ffb5,a20e0b3202e2dacfa76310ed680d4c45
SAMN03247209,SRR1692419,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/009/SRR1692419/SRR1692419_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/009/SRR1692419/SRR1692419_2.fastq.gz,f4002580599dd6ec0f37254bdb6a733e,4ab8abb748398eae2e7afef1096e15a7
SAMN03252406,SRR1693624,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/004/SRR1693624/SRR1693624_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/004/SRR1693624/SRR1693624_2.fastq.gz,4d3a8db22eea3bcb4656cde6bd19871c,20e354951ea6bc2f493a912dfe9de5b6
SAMN03252407,SRR1693654,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/004/SRR1693654/SRR1693654_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR169/004/SRR1693654/SRR1693654_2.fastq.gz,f4566fa57e51e463d1060347b6e4ff7c,cac84f2ba72ccd411b1a6d0be312033a
SAMD00282813,DRR276776,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/DRR276/DRR276776/DRR276776_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/DRR276/DRR276776/DRR276776_2.fastq.gz,b52231c70d04c6488782b27254862eed,0a5d8c68d9555e78293d7a26e850b052
SAMD00282814,DRR276777,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/DRR276/DRR276777/DRR276777_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/DRR276/DRR276777/DRR276777_2.fastq.gz,77801d1410eabe7964138c5ec9cf0437,ef392a4ae229ae5e6652fd5d2c93bf34
SAMD00282815,DRR276778,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/DRR276/DRR276778/DRR276778_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/DRR276/DRR276778/DRR276778_2.fastq.gz,34b5d1e24cfdb2e0d790b89c7b85b7ea,5a89bfd67de14d4cba69d6a3eac76328
SAMD00282816,DRR276779,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/DRR276/DRR276779/DRR276779_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/DRR276/DRR276779/DRR276779_2.fastq.gz,07ecf1a247d67ae4d29f2b222a124908,4debe04d28e27f8ccad8d890103251d2
SAMD00282811,DRR276774,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/DRR276/DRR276774/DRR276774_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/DRR276/DRR276774/DRR276774_2.fastq.gz,109957274650c750e09454129cbdbe34,adf8e7a791c81ae42ad1278656d12aac
SAMD00282812,DRR276775,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/DRR276/DRR276775/DRR276775_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/DRR276/DRR276775/DRR276775_2.fastq.gz,fdfb1c355455fb87e38a8800d9330221,754ff11afe8085154f738a61df22d1b3
SAMN32301304,SRR22801890,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/090/SRR22801890/SRR22801890_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/090/SRR22801890/SRR22801890_2.fastq.gz,63d8e55fdfae7847b2716b0e55ebe64d,0ceb4feffacde4d8f09d3c38b7e63797
SAMN32301305,SRR22801879,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/079/SRR22801879/SRR22801879_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/079/SRR22801879/SRR22801879_2.fastq.gz,202c62199aa9b45e99c356586b68c351,fe0a24546f445913413a3ae00a6f5779
SAMN32301306,SRR22801868,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/068/SRR22801868/SRR22801868_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/068/SRR22801868/SRR22801868_2.fastq.gz,9f676c9edccbeab473e0632abbb9ded2,a9953aef990661347e01dc6242685d60
SAMN32301302,SRR22801902,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/002/SRR22801902/SRR22801902_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/002/SRR22801902/SRR22801902_2.fastq.gz,3ff6cceaf043e1faca06208eb846b837,8c9ad6e64c82ed82e0e0cb3df770db52
