Species,Sample ID,Sex,Subpopulation,BioSample ID,Publication,Lat,Lon
Brown Bear,ABC13,,ABCa,SAMN01057688,Miller et al. 2012,57.44,-134.2
Brown Bear,ABC10,,ABCa,SAMN02045560,Cahill et al. 2015,57.44,-134.2
Brown Bear,ABC06,NA,ABCa,SAMN02256321,Liu et al. 2014,57.73333,-134.333
Brown Bear,ABC07,,ABCa,SAMN32301304, de Jong et al. 2023,57.73333,-134.333
Brown Bear,ABC08,,ABCa,SAMN32301305, de Jong et al. 2023,57.73333,-134.333
Brown Bear,ABC09,,ABCa,SAMN32301306, de Jong et al. 2023,57.73333,-134.333
Brown Bear,ABC14,,ABCbc,SAMN01057689,Miller et al 2012,56.95083,-134.942
Brown Bear,ABC01,NA,ABCbc,SAMN02256316,Liu et al. 2014,56.9508,-134.942
Brown Bear,ABC02,NA,ABCbc,SAMN02256317,Liu et al. 2014,56.9508,-134.942
Brown Bear,ABC03,NA,ABCbc,SAMN02256318,Liu et al. 2014,57.87083,-135.772
Brown Bear,ABC04,NA,ABCbc,SAMN02256319,Liu et al. 2014,57.87083,-135.772
Brown Bear,ABC05,NA,ABCbc,SAMN02256320,Liu et al. 2014,57.87083,-135.772
Brown Bear,ABC11,,ABCbc,SAMN03247209,Cahill et al. 2015,57.87083,-135.772
Brown Bear,ABC12,,ABCbc,SAMN03252406,Cahill et al. 2015,57.87083,-135.772
Brown Bear,TorontoZoo,,ABCcoast1,SAMN09907428,Taylor et al. 2018,58.747,-134.878
Brown Bear,ABC15,,ABCcoast2,SAMN32301302, de Jong et al. 2023,57.98417,-133.788
Brown Bear,ABC16,,ABCcoast2,SAMN32301303, de Jong et al. 2023,57.98417,-133.788
Brown Bear,Alaska02,,Alaska,SAMN01057690,Miller et al. 2012,60.55444,-151.258
Brown Bear,Alaska03,,Alaska,SAMN02045559,Cahill et al. 2013,63.12989,-151.197
Brown Bear,Alaska11,,Alaska,SAMN32301308, de Jong et al. 2023,68.143,-151.736
Brown Bear,Alaska12,,Alaska,SAMN32301309, de Jong et al. 2023,68.143,-151.736
Brown Bear,Alaska07,,Alaska,SAMN32301310, de Jong et al. 2023,68.143,-151.736
Brown Bear,Alaska09,,Alaska,SAMN32301311, de Jong et al. 2023,68.143,-151.736
Brown Bear,AlaskaW1,,Alaska,SAMN32301396, de Jong et al. 2023,66.94,-160.6
Brown Bear,AlaskaN1,,Alaska,SAMN32301397, de Jong et al. 2023,70.29,-148.79
Brown Bear,AlaskaSW1,,Aleutian,SAMN32301393, de Jong et al. 2023,55.328,-160.5
Brown Bear,AlaskaSW2,,Aleutian,SAMN32301394, de Jong et al. 2023,55.81,-166.66
Brown Bear,AlaskaSW3,,Aleutian,SAMN32301395, de Jong et al. 2023,55.81,-166.66
Brown Bear,Amur1,,Amur,SAMN32301312, de Jong et al. 2023,52.43055,140.3289
Brown Bear,Amur2,,Amur,SAMN32301313, de Jong et al. 2023,46.0321,136.677
Brown Bear,Amur3,,Amur,SAMN32301314, de Jong et al. 2023,45.4562,137.185
Brown Bear,Finland,F,Baltic,SAMN02256315,Liu et al. 2014,61.28333,28.83333
Brown Bear,Estonia1,,Baltic,SAMN32301334, de Jong et al. 2023,59.008,26.226
Brown Bear,Estonia2,,Baltic,SAMN32301335, de Jong et al. 2023,59.2672,27.552
Brown Bear,Finland2,,Baltic,SAMN32301346, de Jong et al. 2023,61.6934,29.729
Brown Bear,Finland3,,Baltic,SAMN32301347, de Jong et al. 2023,61.91971,27.81635
Black Bear,Americanblack2,,Black,SAMN01057691,Miller et al 2012,53,-121
Black Bear,Americanblack1,,Black,SAMN02045561,Cahill et al. 2013,53,-121
Brown Bear,Russia,,CentreRus,SAMEA4762872,Barlow et al. 2018,55.23,91.37
Brown Bear,CentralRussia3,,CentreRus,SAMN32301331, de Jong et al. 2023,55.4,91.4
Brown Bear,CentralRussia4,,CentreRus,SAMN32301332, de Jong et al. 2023,60.3,94.3
Brown Bear,CentralRussia2,,CentreRus2,SAMN32301330, de Jong et al. 2023,55.5,91.4
Brown Bear,Slovenia,,Europe,SAMEA4762870,Barlow et al. 2018,46.445,14.01778
Brown Bear,Italy1,,Europe,SAMN07422262,Benazo et al. 2017,42.03908,13.43847
Brown Bear,Greece1,,Europe,SAMN07422268,Benazo et al. 2018,39.07421,21.82431
Brown Bear,Slovakia1,,Europe,SAMN07422269,Benazo et al. 2017,48.14816,17.10674
Brown Bear,Spain1,,Europe,SAMN07422271,Benazo et al. 2017,43.46278,-3.805
Brown Bear,Slovenia1,,Europe,SAMN07422272,Benazo et al. 2017,46.15124,14.99546
Brown Bear,Rumania1,,Europe,SAMN32301366, de Jong et al. 2023,44.43996,26.09631
Brown Bear,Rumania2,,Europe,SAMN32301367, de Jong et al. 2023,44.43996,26.09631
Brown Bear,Rumania3,,Europe,SAMN32301368, de Jong et al. 2023,44.43996,26.09631
Brown Bear,Rumania4,,Europe,SAMN32301369, de Jong et al. 2023,44.43996,26.09631
Brown Bear,Rumania5,,Europe,SAMN32301370, de Jong et al. 2023,44.43996,26.09631
Brown Bear,Himalaya1,,Himalaya,SAMN32301348, de Jong et al. 2023,38.11,70.41
Brown Bear,HokkaidoSouth1,,Hokkaido,SAMD00282811,Endo et al. 2021,41.729,140.4298
Brown Bear,HokkaidoSouth2,,Hokkaido,SAMD00282812,Endo et al. 2021,42.942,140.617
Brown Bear,HokkaidoCentral1,,Hokkaido,SAMD00282813,Endo et al. 2021,43.317,141.967
Brown Bear,HokkaidoCentral2,,Hokkaido,SAMD00282814,Endo et al. 2021,45.092,141.831
Brown Bear,HokkaidoEast1,,Hokkaido,SAMD00282815,Endo et al. 2021,43.728,144.587
Brown Bear,HokkaidoEast2,,Hokkaido,SAMD00282816,Endo et al. 2021,43.987,144.952
Brown Bear,Hokkaido1,,Hokkaido,SAMN32301349, de Jong et al. 2023,42.9239,143.1961
Brown Bear,Canada10,,HudsonBay,SAMN32301318, de Jong et al. 2023,61.117,-94.05
Brown Bear,Canada11,,HudsonBay,SAMN32301319, de Jong et al. 2023,61.117,-94.05
Brown Bear,Canada12,,HudsonBay,SAMN32301320, de Jong et al. 2023,61.117,-94.05
Brown Bear,Canada2,,HudsonBay,SAMN32301321, de Jong et al. 2023,62.2373,-92.5922
Brown Bear,Canada3,,HudsonBay,SAMN32301322, de Jong et al. 2023,61.117,-94.05
Brown Bear,Canada4,,HudsonBay,SAMN32301323, de Jong et al. 2023,61.117,-94.05
Brown Bear,Canada5,,HudsonBay,SAMN32301324, de Jong et al. 2023,64.167,-95.5
Brown Bear,Canada6,,HudsonBay,SAMN32301325, de Jong et al. 2023,64.167,-95.5
Brown Bear,Canada7,,HudsonBay,SAMN32301326, de Jong et al. 2023,62.75,-92
Brown Bear,Canada8,,HudsonBay,SAMN32301327, de Jong et al. 2023,61.117,-94.05
Brown Bear,Canada9,,HudsonBay,SAMN32301328, de Jong et al. 2023,61.117,-94.05
Brown Bear,Kamtschetka3,,Kamtchatka,SAMN32301351, de Jong et al. 2023,56.21095,159.3467
Brown Bear,Kamtschetka4,,Kamtchatka,SAMN32301352, de Jong et al. 2023,56.21095,159.3467
