,fpr,tpr,aoc
0,0.0,0.0,0.8059999999999999
1,0.0,0.02,0.8059999999999999
2,0.0,0.06,0.8059999999999999
3,0.0,0.08,0.8059999999999999
4,0.0,0.18,0.8059999999999999
5,0.0,0.22,0.8059999999999999
6,0.02,0.26,0.8059999999999999
7,0.04,0.28,0.8059999999999999
8,0.08,0.3,0.8059999999999999
9,0.08,0.34,0.8059999999999999
10,0.1,0.34,0.8059999999999999
11,0.1,0.38,0.8059999999999999
12,0.1,0.42,0.8059999999999999
13,0.12,0.44,0.8059999999999999
14,0.12,0.48,0.8059999999999999
15,0.12,0.52,0.8059999999999999
16,0.14,0.52,0.8059999999999999
17,0.14,0.58,0.8059999999999999
18,0.16,0.58,0.8059999999999999
19,0.16,0.62,0.8059999999999999
20,0.2,0.66,0.8059999999999999
21,0.2,0.7,0.8059999999999999
22,0.22,0.7,0.8059999999999999
23,0.22,0.72,0.8059999999999999
24,0.24,0.72,0.8059999999999999
25,0.24,0.74,0.8059999999999999
26,0.26,0.74,0.8059999999999999
27,0.3,0.78,0.8059999999999999
28,0.3,0.84,0.8059999999999999
29,0.42,0.84,0.8059999999999999
30,0.42,0.86,0.8059999999999999
31,0.48,0.86,0.8059999999999999
32,0.48,0.88,0.8059999999999999
33,0.52,0.88,0.8059999999999999
34,0.52,0.9,0.8059999999999999
35,0.58,0.9,0.8059999999999999
36,0.58,0.96,0.8059999999999999
37,0.9,0.96,0.8059999999999999
38,0.9,0.98,0.8059999999999999
39,0.96,0.98,0.8059999999999999
40,0.96,1.0,0.8059999999999999
41,1.0,1.0,0.8059999999999999
