replicate,batch_size,learning_rate,enc_learning_rate,disc_learning_rate,lambda_val,target_num,target_prop,epochs,iwcdan,epoch,class,iw_weight
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,1,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,1,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,1,0,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,1,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,1,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,1,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,1,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,1,1,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,1,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,1,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,2,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,2,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,2,0,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,2,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,2,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,2,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,2,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,2,1,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,2,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,2,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,3,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,3,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,3,0,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,3,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,3,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,3,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,3,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,3,1,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,3,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,3,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,4,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,4,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,4,0,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,4,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,4,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,4,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,4,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,4,1,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,4,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,4,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,5,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,5,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,5,0,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,5,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,5,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,5,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,5,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,5,1,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,5,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,5,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,6,0,1.0508124
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,6,0,0.97067946
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,6,0,0.73504657
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,6,0,0.9436521
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,6,0,0.8027215
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,6,1,0.94918764
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,6,1,1.0293206
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,6,1,1.2649535
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,6,1,1.056348
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,6,1,1.1972785
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,7,0,1.0508124
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,7,0,0.97067946
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,7,0,0.73504657
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,7,0,0.9436521
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,7,0,0.8027215
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,7,1,0.94918764
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,7,1,1.0293206
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,7,1,1.2649535
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,7,1,1.056348
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,7,1,1.1972785
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,8,0,1.0508124
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,8,0,0.97067946
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,8,0,0.73504657
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,8,0,0.9436521
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,8,0,0.8027215
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,8,1,0.94918764
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,8,1,1.0293206
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,8,1,1.2649535
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,8,1,1.056348
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,8,1,1.1972785
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,9,0,1.0508124
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,9,0,0.97067946
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,9,0,0.73504657
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,9,0,0.9436521
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,9,0,0.8027215
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,9,1,0.94918764
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,9,1,1.0293206
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,9,1,1.2649535
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,9,1,1.056348
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,9,1,1.1972785
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,10,0,1.0508124
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,10,0,0.97067946
