,source_accuracy,target_accuracy,source_auc,target_auc,replicate,batch_size,learning_rate,enc_learning_rate,disc_learning_rate,lambda_val,target_num,target_prop,epochs,iwcdan
0,0.997,0.6530612244897959,1.0,0.9042792792792794,7,16,0.001,0.001,0.001,0.5,50,0.25,50,True
1,0.998,0.7142857142857143,0.998164,0.8986486486486486,10,16,0.001,0.001,0.001,0.5,50,0.25,50,True
2,0.999,0.9183673469387755,1.0,0.9594594594594595,3,16,0.001,0.001,0.001,0.5,50,0.25,50,True
3,0.999,0.7142857142857143,1.0,0.9099099099099099,9,16,0.001,0.001,0.001,0.5,50,0.25,50,True
4,0.999,0.7959183673469388,1.0,0.8153153153153154,4,16,0.001,0.001,0.001,0.5,50,0.25,50,True
5,0.995,0.673469387755102,1.0,0.6463963963963965,6,16,0.001,0.001,0.001,0.5,50,0.25,50,True
6,0.998,0.8571428571428571,1.0,0.9301801801801803,1,16,0.001,0.001,0.001,0.5,50,0.25,50,True
7,1.0,0.9183673469387755,1.0,0.9662162162162162,5,16,0.001,0.001,0.001,0.5,50,0.25,50,True
8,0.999,0.7959183673469388,1.0,0.9155405405405406,8,16,0.001,0.001,0.001,0.5,50,0.25,50,True
9,1.0,0.8979591836734694,1.0,0.9527027027027026,2,16,0.001,0.001,0.001,0.5,50,0.25,50,True
10,0.999,0.5510204081632653,1.0,0.7556306306306306,2,16,0.001,0.001,0.001,1.0,50,0.75,50,True
11,0.999,0.9591836734693877,1.0,0.9009009009009008,8,16,0.001,0.001,0.001,1.0,50,0.75,50,True
12,0.998,0.6938775510204082,1.0,0.786036036036036,5,16,0.001,0.001,0.001,1.0,50,0.75,50,True
13,0.998,0.5510204081632653,1.0,0.5675675675675675,1,16,0.001,0.001,0.001,1.0,50,0.75,50,True
14,1.0,0.8979591836734694,1.0,0.9324324324324325,6,16,0.001,0.001,0.001,1.0,50,0.75,50,True
15,0.999,0.673469387755102,1.0,0.7668918918918919,4,16,0.001,0.001,0.001,1.0,50,0.75,50,True
16,1.0,0.9795918367346939,1.0,0.9864864864864865,9,16,0.001,0.001,0.001,1.0,50,0.75,50,True
17,0.998,0.9795918367346939,1.0,0.9842342342342343,3,16,0.001,0.001,0.001,1.0,50,0.75,50,True
18,0.999,0.6938775510204082,1.0,0.8243243243243243,10,16,0.001,0.001,0.001,1.0,50,0.75,50,True
19,1.0,0.4489795918367347,1.0,0.5900900900900901,7,16,0.001,0.001,0.001,1.0,50,0.75,50,True
20,1.0,0.54,1.0,,6,16,0.001,0.001,0.001,1.0,50,0.0,50,True
21,0.998,0.7,1.0,,1,16,0.001,0.001,0.001,1.0,50,0.0,50,True
22,0.999,0.52,1.0,,5,16,0.001,0.001,0.001,1.0,50,0.0,50,True
23,1.0,0.52,1.0,,2,16,0.001,0.001,0.001,1.0,50,0.0,50,True
24,0.998,0.62,1.0,,8,16,0.001,0.001,0.001,1.0,50,0.0,50,True
25,1.0,0.94,1.0,,7,16,0.001,0.001,0.001,1.0,50,0.0,50,True
26,0.999,0.46,1.0,,10,16,0.001,0.001,0.001,1.0,50,0.0,50,True
27,0.997,0.52,1.0,,9,16,0.001,0.001,0.001,1.0,50,0.0,50,True
28,1.0,0.54,1.0,,3,16,0.001,0.001,0.001,1.0,50,0.0,50,True
29,0.998,0.52,1.0,,4,16,0.001,0.001,0.001,1.0,50,0.0,50,True
30,0.999,0.48,1.0,,7,16,0.001,0.001,0.001,1.0,50,1.0,50,True
31,1.0,0.48,1.0,,4,16,0.001,0.001,0.001,1.0,50,1.0,50,True
32,0.997,0.56,1.0,,10,16,0.001,0.001,0.001,1.0,50,1.0,50,True
33,0.998,0.48,1.0,,9,16,0.001,0.001,0.001,1.0,50,1.0,50,True
34,1.0,0.48,1.0,,3,16,0.001,0.001,0.001,1.0,50,1.0,50,True
35,1.0,0.44,1.0,,1,16,0.001,0.001,0.001,1.0,50,1.0,50,True
36,0.978,0.96,0.999212,,6,16,0.001,0.001,0.001,1.0,50,1.0,50,True
37,0.995,0.44,0.9999039999999999,,2,16,0.001,0.001,0.001,1.0,50,1.0,50,True
38,0.999,0.44,0.999992,,8,16,0.001,0.001,0.001,1.0,50,1.0,50,True
39,0.998,0.48,1.0,,5,16,0.001,0.001,0.001,1.0,50,1.0,50,True
40,1.0,0.8571428571428571,1.0,0.8153153153153153,8,16,0.001,0.001,0.001,0.0,50,0.75,50,True
41,0.998,0.8367346938775511,1.0,0.9099099099099099,2,16,0.001,0.001,0.001,0.0,50,0.75,50,True
42,0.999,0.7551020408163265,1.0,0.9797297297297297,5,16,0.001,0.001,0.001,0.0,50,0.75,50,True
43,1.0,0.7755102040816326,1.0,0.8130630630630631,1,16,0.001,0.001,0.001,0.0,50,0.75,50,True
44,0.999,0.9183673469387755,1.0,0.8603603603603605,6,16,0.001,0.001,0.001,0.0,50,0.75,50,True
45,0.999,0.6122448979591837,1.0,0.8817567567567568,4,16,0.001,0.001,0.001,0.0,50,0.75,50,True
46,1.0,0.6938775510204082,1.0,0.8581081081081082,10,16,0.001,0.001,0.001,0.0,50,0.75,50,True
47,1.0,0.8775510204081632,1.0,0.8716216216216216,3,16,0.001,0.001,0.001,0.0,50,0.75,50,True
48,0.999,0.8163265306122449,1.0,0.9774774774774775,9,16,0.001,0.001,0.001,0.0,50,0.75,50,True
49,1.0,0.673469387755102,1.0,0.8941441441441441,7,16,0.001,0.001,0.001,0.0,50,0.75,50,True
50,0.999,0.86,1.0,0.9176,7,16,0.001,0.001,0.001,0.0,50,0.5,50,True
51,1.0,0.78,1.0,0.9248,10,16,0.001,0.001,0.001,0.0,50,0.5,50,True
52,0.999,0.7,1.0,0.8184,9,16,0.001,0.001,0.001,0.0,50,0.5,50,True
53,1.0,0.82,1.0,0.888,3,16,0.001,0.001,0.001,0.0,50,0.5,50,True
54,0.999,0.7,1.0,0.8039999999999999,4,16,0.001,0.001,0.001,0.0,50,0.5,50,True
55,0.999,0.64,1.0,0.76,6,16,0.001,0.001,0.001,0.0,50,0.5,50,True
56,0.999,0.7,1.0,0.8912,1,16,0.001,0.001,0.001,0.0,50,0.5,50,True
57,0.999,0.64,1.0,0.804,5,16,0.001,0.001,0.001,0.0,50,0.5,50,True
58,0.999,0.9,1.0,0.912,2,16,0.001,0.001,0.001,0.0,50,0.5,50,True
59,1.0,0.9,1.0,0.952,8,16,0.001,0.001,0.001,0.0,50,0.5,50,True
60,0.998,0.48,1.0,,6,16,0.001,0.001,0.001,0.5,50,1.0,50,True
61,0.998,0.44,1.0,,1,16,0.001,0.001,0.001,0.5,50,1.0,50,True
