,source_accuracy,target_accuracy,source_auc,target_auc,replicate,batch_size,learning_rate,enc_learning_rate,disc_learning_rate,lambda_val,target_num,target_prop,epochs,iwcdan
0,1.0,0.46,1.0,,7,16,0.001,0.001,0.001,0.1,50,1.0,50,False
1,1.0,0.44,1.0,,9,16,0.001,0.001,0.001,0.1,50,1.0,50,False
2,0.999,0.48,1.0,,3,16,0.001,0.001,0.001,0.1,50,1.0,50,False
3,0.997,0.44,1.0,,10,16,0.001,0.001,0.001,0.1,50,1.0,50,False
4,1.0,0.44,1.0,,4,16,0.001,0.001,0.001,0.1,50,1.0,50,False
5,0.999,0.48,1.0,,6,16,0.001,0.001,0.001,0.1,50,1.0,50,False
6,0.998,0.48,1.0,,1,16,0.001,0.001,0.001,0.1,50,1.0,50,False
7,1.0,0.48,1.0,,5,16,0.001,0.001,0.001,0.1,50,1.0,50,False
8,1.0,0.5,1.0,,2,16,0.001,0.001,0.001,0.1,50,1.0,50,False
9,0.998,0.44,1.0,,8,16,0.001,0.001,0.001,0.1,50,1.0,50,False
10,0.999,0.54,1.0,,1,16,0.001,0.001,0.001,0.5,50,0.0,50,False
11,0.999,0.62,1.0,,6,16,0.001,0.001,0.001,0.5,50,0.0,50,False
12,0.999,0.54,1.0,,8,16,0.001,0.001,0.001,0.5,50,0.0,50,False
13,1.0,0.46,1.0,,2,16,0.001,0.001,0.001,0.5,50,0.0,50,False
14,0.999,0.54,0.9999,,5,16,0.001,0.001,0.001,0.5,50,0.0,50,False
15,0.999,0.54,1.0,,7,16,0.001,0.001,0.001,0.5,50,0.0,50,False
16,1.0,0.54,1.0,,4,16,0.001,0.001,0.001,0.5,50,0.0,50,False
17,0.996,0.5,0.9997240000000001,,3,16,0.001,0.001,0.001,0.5,50,0.0,50,False
18,1.0,0.46,1.0,,9,16,0.001,0.001,0.001,0.5,50,0.0,50,False
19,1.0,0.56,1.0,,10,16,0.001,0.001,0.001,0.5,50,0.0,50,False
20,1.0,0.7959183673469388,1.0,0.7229729729729729,9,16,0.001,0.001,0.001,0.0,50,0.75,50,False
