replicate,batch_size,learning_rate,enc_learning_rate,disc_learning_rate,lambda_val,target_num,target_prop,epochs,iwcdan,epoch,class,iw_weight
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,1,0,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,1,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,1,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,1,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,1,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,1,1,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,1,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,1,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,1,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,1,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,2,0,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,2,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,2,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,2,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,2,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,2,1,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,2,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,2,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,2,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,2,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,3,0,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,3,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,3,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,3,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,3,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,3,1,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,3,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,3,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,3,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,3,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,4,0,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,4,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,4,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,4,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,4,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,4,1,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,4,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,4,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,4,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,4,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,5,0,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,5,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,5,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,5,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,5,0,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,5,1,1.0
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,5,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,5,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,5,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,5,1,1.0
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,6,0,0.6
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,6,0,0.906898
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,6,0,0.72702694
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,6,0,0.93436134
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,6,0,1.3042572
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,6,1,1.4958466
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,6,1,1.093102
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,6,1,1.2729731
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,6,1,1.0656387
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,6,1,0.6957429
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,7,0,0.6
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,7,0,0.906898
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,7,0,0.72702694
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,7,0,0.93436134
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,7,0,1.3042572
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,7,1,1.4958466
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,7,1,1.093102
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,7,1,1.2729731
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,7,1,1.0656387
1,16,0.001,0.001,0.001,0.0,50,0.75,50,True,7,1,0.6957429
1,16,0.001,0.001,0.001,0.0,50,0.0,50,True,8,0,0.6
1,16,0.001,0.001,0.001,0.0,50,1.0,50,True,8,0,0.906898
1,16,0.001,0.001,0.001,0.0,50,0.25,50,True,8,0,0.72702694
1,16,0.001,0.001,0.001,0.0,50,0.5,50,True,8,0,0.93436134
