,source_accuracy,target_accuracy,source_auc,target_auc,replicate,batch_size,learning_rate,enc_learning_rate,disc_learning_rate,lambda_val,target_num,target_prop,epochs,iwcdan
0,0.945,0.8979591836734694,0.989368,0.9864864864864865,6,16,0.001,0.001,0.001,0.5,50,0.25,50,True
1,0.941,0.9387755102040817,0.990912,0.9977477477477478,1,16,0.001,0.001,0.001,0.5,50,0.25,50,True
2,0.949,0.8979591836734694,0.990732,0.9909909909909911,5,16,0.001,0.001,0.001,0.5,50,0.25,50,True
3,0.949,0.8163265306122449,0.990848,0.9211711711711712,8,16,0.001,0.001,0.001,0.5,50,0.25,50,True
4,0.948,0.9183673469387755,0.9913639999999999,0.9954954954954955,2,16,0.001,0.001,0.001,0.5,50,0.25,50,True
5,0.94,0.8163265306122449,0.9902,0.9481981981981984,7,16,0.001,0.001,0.001,0.5,50,0.25,50,True
6,0.946,0.9387755102040817,0.991416,1.0,10,16,0.001,0.001,0.001,0.5,50,0.25,50,True
7,0.944,0.8163265306122449,0.98964,0.9617117117117118,3,16,0.001,0.001,0.001,0.5,50,0.25,50,True
8,0.946,0.8775510204081632,0.989876,0.9842342342342343,9,16,0.001,0.001,0.001,0.5,50,0.25,50,True
9,0.95,0.9183673469387755,0.9910319999999999,0.9932432432432433,4,16,0.001,0.001,0.001,0.5,50,0.25,50,True
10,0.949,1.0,0.990964,,10,16,0.001,0.001,0.001,0.0,50,0.0,50,True
11,0.949,0.98,0.990748,,9,16,0.001,0.001,0.001,0.0,50,0.0,50,True
12,0.95,0.96,0.990676,,3,16,0.001,0.001,0.001,0.0,50,0.0,50,True
13,0.952,0.98,0.989636,,4,16,0.001,0.001,0.001,0.0,50,0.0,50,True
14,0.948,0.98,0.990564,,7,16,0.001,0.001,0.001,0.0,50,0.0,50,True
15,0.949,0.94,0.9901760000000001,,5,16,0.001,0.001,0.001,0.0,50,0.0,50,True
16,0.95,1.0,0.991532,,2,16,0.001,0.001,0.001,0.0,50,0.0,50,True
17,0.947,0.96,0.991108,,8,16,0.001,0.001,0.001,0.0,50,0.0,50,True
18,0.951,0.94,0.9909519999999999,,6,16,0.001,0.001,0.001,0.0,50,0.0,50,True
19,0.952,0.98,0.991232,,1,16,0.001,0.001,0.001,0.0,50,0.0,50,True
20,0.955,0.18,0.991412,,1,16,0.001,0.001,0.001,0.0,50,1.0,50,True
21,0.95,0.8,0.9913799999999999,,6,16,0.001,0.001,0.001,0.0,50,1.0,50,True
22,0.951,0.9,0.990552,,8,16,0.001,0.001,0.001,0.0,50,1.0,50,True
23,0.95,0.5,0.9921760000000001,,2,16,0.001,0.001,0.001,0.0,50,1.0,50,True
24,0.947,0.58,0.989632,,5,16,0.001,0.001,0.001,0.0,50,1.0,50,True
25,0.948,0.82,0.9917239999999999,,7,16,0.001,0.001,0.001,0.0,50,1.0,50,True
26,0.949,0.92,0.990548,,4,16,0.001,0.001,0.001,0.0,50,1.0,50,True
27,0.951,0.76,0.991012,,3,16,0.001,0.001,0.001,0.0,50,1.0,50,True
28,0.949,0.88,0.991148,,9,16,0.001,0.001,0.001,0.0,50,1.0,50,True
29,0.941,0.84,0.991704,,10,16,0.001,0.001,0.001,0.0,50,1.0,50,True
30,0.938,0.58,0.99034,,5,16,0.001,0.001,0.001,0.5,50,1.0,50,True
31,0.95,0.54,0.990408,,2,16,0.001,0.001,0.001,0.5,50,1.0,50,True
32,0.946,0.48,0.989456,,8,16,0.001,0.001,0.001,0.5,50,1.0,50,True
33,0.948,0.62,0.990444,,6,16,0.001,0.001,0.001,0.5,50,1.0,50,True
34,0.956,0.46,0.99146,,1,16,0.001,0.001,0.001,0.5,50,1.0,50,True
35,0.951,0.46,0.9890000000000001,,10,16,0.001,0.001,0.001,0.5,50,1.0,50,True
36,0.943,0.74,0.9906600000000001,,9,16,0.001,0.001,0.001,0.5,50,1.0,50,True
37,0.954,0.74,0.9909039999999999,,3,16,0.001,0.001,0.001,0.5,50,1.0,50,True
38,0.944,0.46,0.990044,,4,16,0.001,0.001,0.001,0.5,50,1.0,50,True
39,0.944,0.48,0.9900519999999999,,7,16,0.001,0.001,0.001,0.5,50,1.0,50,True
40,0.93,0.68,0.991016,,1,16,0.001,0.001,0.001,0.5,50,0.0,50,True
41,0.946,0.64,0.990212,,6,16,0.001,0.001,0.001,0.5,50,0.0,50,True
42,0.958,0.64,0.9914439999999999,,8,16,0.001,0.001,0.001,0.5,50,0.0,50,True
43,0.943,0.66,0.990076,,2,16,0.001,0.001,0.001,0.5,50,0.0,50,True
44,0.945,0.7,0.990104,,5,16,0.001,0.001,0.001,0.5,50,0.0,50,True
45,0.945,0.78,0.990824,,7,16,0.001,0.001,0.001,0.5,50,0.0,50,True
46,0.949,0.72,0.991688,,4,16,0.001,0.001,0.001,0.5,50,0.0,50,True
47,0.94,0.56,0.98984,,3,16,0.001,0.001,0.001,0.5,50,0.0,50,True
48,0.955,0.72,0.99064,,9,16,0.001,0.001,0.001,0.5,50,0.0,50,True
49,0.956,0.64,0.991144,,10,16,0.001,0.001,0.001,0.5,50,0.0,50,True
