,source_accuracy,target_accuracy,source_auc,target_auc,replicate,batch_size,learning_rate,enc_learning_rate,disc_learning_rate,lambda_val,target_num,target_prop,epochs,iwcdan
0,0.944,0.9795918367346939,0.9911559999999999,1.0,7,16,0.001,0.001,0.001,0.1,50,0.25,50,False
1,0.944,0.9183673469387755,0.9909319999999999,0.9932432432432433,4,16,0.001,0.001,0.001,0.1,50,0.25,50,False
2,0.946,0.9387755102040817,0.9909840000000001,1.0,10,16,0.001,0.001,0.001,0.1,50,0.25,50,False
3,0.954,0.9387755102040817,0.9907360000000001,1.0,9,16,0.001,0.001,0.001,0.1,50,0.25,50,False
4,0.945,0.9591836734693877,0.990768,1.0,3,16,0.001,0.001,0.001,0.1,50,0.25,50,False
5,0.95,0.7551020408163265,0.990584,0.9707207207207208,1,16,0.001,0.001,0.001,0.1,50,0.25,50,False
6,0.948,0.8367346938775511,0.9906360000000001,0.9932432432432432,6,16,0.001,0.001,0.001,0.1,50,0.25,50,False
7,0.949,0.8979591836734694,0.991456,1.0,2,16,0.001,0.001,0.001,0.1,50,0.25,50,False
8,0.949,0.8571428571428571,0.990732,0.9572072072072073,8,16,0.001,0.001,0.001,0.1,50,0.25,50,False
9,0.946,0.8775510204081632,0.9904160000000001,0.9864864864864865,5,16,0.001,0.001,0.001,0.1,50,0.25,50,False
10,0.95,0.96,0.9902799999999999,,5,16,0.001,0.001,0.001,0.0,50,0.0,50,False
11,0.949,1.0,0.99064,,8,16,0.001,0.001,0.001,0.0,50,0.0,50,False
12,0.939,1.0,0.991308,,2,16,0.001,0.001,0.001,0.0,50,0.0,50,False
13,0.948,0.98,0.9902839999999999,,6,16,0.001,0.001,0.001,0.0,50,0.0,50,False
14,0.946,0.96,0.9905160000000001,,1,16,0.001,0.001,0.001,0.0,50,0.0,50,False
15,0.955,1.0,0.991496,,10,16,0.001,0.001,0.001,0.0,50,0.0,50,False
16,0.947,1.0,0.9898239999999999,,3,16,0.001,0.001,0.001,0.0,50,0.0,50,False
17,0.95,1.0,0.9914000000000001,,9,16,0.001,0.001,0.001,0.0,50,0.0,50,False
18,0.939,0.98,0.9906280000000001,,4,16,0.001,0.001,0.001,0.0,50,0.0,50,False
19,0.947,0.96,0.991088,,7,16,0.001,0.001,0.001,0.0,50,0.0,50,False
20,0.942,0.92,0.9902719999999999,0.9856,2,16,0.001,0.001,0.001,0.5,50,0.5,50,False
21,0.949,0.94,0.990436,0.9952,8,16,0.001,0.001,0.001,0.5,50,0.5,50,False
22,0.957,0.96,0.991256,0.9984,5,16,0.001,0.001,0.001,0.5,50,0.5,50,False
23,0.95,0.94,0.9907159999999999,0.9936,1,16,0.001,0.001,0.001,0.5,50,0.5,50,False
24,0.95,0.98,0.9908959999999999,0.9984,6,16,0.001,0.001,0.001,0.5,50,0.5,50,False
25,0.945,1.0,0.989952,1.0,4,16,0.001,0.001,0.001,0.5,50,0.5,50,False
26,0.949,0.96,0.9913919999999999,0.9936,10,16,0.001,0.001,0.001,0.5,50,0.5,50,False
27,0.946,0.94,0.991196,0.9935999999999999,9,16,0.001,0.001,0.001,0.5,50,0.5,50,False
28,0.949,0.98,0.99114,1.0,3,16,0.001,0.001,0.001,0.5,50,0.5,50,False
29,0.951,0.94,0.9908640000000001,0.9936,7,16,0.001,0.001,0.001,0.5,50,0.5,50,False
30,0.943,0.7551020408163265,0.989976,0.9797297297297298,4,16,0.001,0.001,0.001,0.5,50,0.25,50,False
31,0.952,0.7346938775510204,0.990304,0.9572072072072073,10,16,0.001,0.001,0.001,0.5,50,0.25,50,False
32,0.941,0.8367346938775511,0.9888920000000001,1.0,9,16,0.001,0.001,0.001,0.5,50,0.25,50,False
33,0.947,0.8367346938775511,0.9902120000000001,0.981981981981982,3,16,0.001,0.001,0.001,0.5,50,0.25,50,False
34,0.944,0.7959183673469388,0.990008,0.9166666666666667,7,16,0.001,0.001,0.001,0.5,50,0.25,50,False
35,0.95,0.7142857142857143,0.9908760000000001,0.9594594594594594,2,16,0.001,0.001,0.001,0.5,50,0.25,50,False
36,0.95,0.7551020408163265,0.9903879999999999,1.0,8,16,0.001,0.001,0.001,0.5,50,0.25,50,False
37,0.946,0.7959183673469388,0.990376,0.8986486486486487,5,16,0.001,0.001,0.001,0.5,50,0.25,50,False
38,0.95,0.8163265306122449,0.99088,1.0,1,16,0.001,0.001,0.001,0.5,50,0.25,50,False
39,0.947,0.7755102040816326,0.991256,0.9842342342342343,6,16,0.001,0.001,0.001,0.5,50,0.25,50,False
40,0.947,0.7346938775510204,0.99012,0.9684684684684685,10,16,0.001,0.001,0.001,0.1,50,0.75,50,False
41,0.953,0.7755102040816326,0.9909919999999999,0.9391891891891893,3,16,0.001,0.001,0.001,0.1,50,0.75,50,False
42,0.951,0.8775510204081632,0.991232,0.9864864864864865,9,16,0.001,0.001,0.001,0.1,50,0.75,50,False
43,0.948,0.7755102040816326,0.9907680000000001,0.954954954954955,4,16,0.001,0.001,0.001,0.1,50,0.75,50,False
44,0.939,0.8775510204081632,0.9901479999999998,0.9842342342342343,7,16,0.001,0.001,0.001,0.1,50,0.75,50,False
45,0.951,0.7346938775510204,0.9904400000000001,0.9819819819819819,5,16,0.001,0.001,0.001,0.1,50,0.75,50,False
46,0.943,0.7959183673469388,0.99024,0.9909909909909911,8,16,0.001,0.001,0.001,0.1,50,0.75,50,False
47,0.949,0.673469387755102,0.9906,0.954954954954955,2,16,0.001,0.001,0.001,0.1,50,0.75,50,False
48,0.953,0.7755102040816326,0.99068,0.9459459459459459,6,16,0.001,0.001,0.001,0.1,50,0.75,50,False
49,0.954,0.7142857142857143,0.991448,0.9549549549549549,1,16,0.001,0.001,0.001,0.1,50,0.75,50,False
50,0.95,0.7755102040816326,0.991892,0.9752252252252253,7,16,0.001,0.001,0.001,0.5,50,0.75,50,False
51,0.946,0.7755102040816326,0.990052,0.9797297297297297,3,16,0.001,0.001,0.001,0.5,50,0.75,50,False
52,0.954,0.673469387755102,0.992176,0.9662162162162162,9,16,0.001,0.001,0.001,0.5,50,0.75,50,False
53,0.949,0.7755102040816326,0.991048,0.9594594594594594,10,16,0.001,0.001,0.001,0.5,50,0.75,50,False
54,0.951,0.7551020408163265,0.990484,0.9797297297297297,4,16,0.001,0.001,0.001,0.5,50,0.75,50,False
55,0.952,0.7755102040816326,0.990528,0.9909909909909911,6,16,0.001,0.001,0.001,0.5,50,0.75,50,False
56,0.952,0.6530612244897959,0.9913799999999999,0.9324324324324325,1,16,0.001,0.001,0.001,0.5,50,0.75,50,False
57,0.943,0.7755102040816326,0.9900599999999999,0.9954954954954955,5,16,0.001,0.001,0.001,0.5,50,0.75,50,False
58,0.942,0.673469387755102,0.989724,0.9189189189189189,8,16,0.001,0.001,0.001,0.5,50,0.75,50,False
59,0.95,0.7959183673469388,0.99112,0.9842342342342343,2,16,0.001,0.001,0.001,0.5,50,0.75,50,False
60,0.95,0.46,0.991976,,7,16,0.001,0.001,0.001,1.0,50,0.0,50,False
61,0.949,0.54,0.989752,,4,16,0.001,0.001,0.001,1.0,50,0.0,50,False
62,0.947,0.56,0.990376,,10,16,0.001,0.001,0.001,1.0,50,0.0,50,False
63,0.949,0.5,0.990432,,3,16,0.001,0.001,0.001,1.0,50,0.0,50,False
64,0.938,0.5,0.9886539999999999,,9,16,0.001,0.001,0.001,1.0,50,0.0,50,False
65,0.947,0.52,0.990988,,1,16,0.001,0.001,0.001,1.0,50,0.0,50,False
66,0.945,0.46,0.9896560000000001,,6,16,0.001,0.001,0.001,1.0,50,0.0,50,False
67,0.941,0.48,0.988868,,8,16,0.001,0.001,0.001,1.0,50,0.0,50,False
68,0.949,0.52,0.9908440000000001,,2,16,0.001,0.001,0.001,1.0,50,0.0,50,False
69,0.934,0.58,0.986236,,5,16,0.001,0.001,0.001,1.0,50,0.0,50,False
70,0.945,0.5714285714285714,0.9904120000000001,0.9954954954954955,7,16,0.001,0.001,0.001,0.0,50,0.75,50,False
71,0.95,0.9183673469387755,0.9911439999999999,1.0,4,16,0.001,0.001,0.001,0.0,50,0.75,50,False
72,0.944,0.9591836734693877,0.99096,0.9954954954954955,10,16,0.001,0.001,0.001,0.0,50,0.75,50,False
73,0.949,0.7551020408163265,0.990916,0.9774774774774775,3,16,0.001,0.001,0.001,0.0,50,0.75,50,False
74,0.949,0.7551020408163265,0.99094,0.972972972972973,9,16,0.001,0.001,0.001,0.0,50,0.75,50,False
75,0.95,0.7551020408163265,0.9906280000000001,0.9819819819819819,1,16,0.001,0.001,0.001,0.0,50,0.75,50,False
76,0.95,0.8775510204081632,0.991496,0.9797297297297297,6,16,0.001,0.001,0.001,0.0,50,0.75,50,False
77,0.95,0.9795918367346939,0.991628,0.9977477477477478,8,16,0.001,0.001,0.001,0.0,50,0.75,50,False
78,0.948,0.9387755102040817,0.991344,0.9954954954954955,2,16,0.001,0.001,0.001,0.0,50,0.75,50,False
79,0.952,0.7959183673469388,0.991628,0.9842342342342343,5,16,0.001,0.001,0.001,0.0,50,0.75,50,False
80,0.935,0.56,0.990364,,4,16,0.001,0.001,0.001,0.5,50,1.0,50,False
81,0.945,0.52,0.98936,,9,16,0.001,0.001,0.001,0.5,50,1.0,50,False
82,0.954,0.48,0.9912679999999999,,3,16,0.001,0.001,0.001,0.5,50,1.0,50,False
83,0.951,0.44,0.991028,,10,16,0.001,0.001,0.001,0.5,50,1.0,50,False
84,0.947,0.46,0.990876,,7,16,0.001,0.001,0.001,0.5,50,1.0,50,False
85,0.947,0.5,0.9900680000000001,,2,16,0.001,0.001,0.001,0.5,50,1.0,50,False
86,0.949,0.5,0.990192,,8,16,0.001,0.001,0.001,0.5,50,1.0,50,False
87,0.946,0.46,0.990692,,5,16,0.001,0.001,0.001,0.5,50,1.0,50,False
88,0.95,0.58,0.990224,,1,16,0.001,0.001,0.001,0.5,50,1.0,50,False
89,0.944,0.5,0.990136,,6,16,0.001,0.001,0.001,0.5,50,1.0,50,False
90,0.942,0.6,0.98986,,3,16,0.001,0.001,0.001,0.1,50,0.0,50,False
91,0.946,0.6,0.990824,,9,16,0.001,0.001,0.001,0.1,50,0.0,50,False
92,0.937,0.66,0.98978,,10,16,0.001,0.001,0.001,0.1,50,0.0,50,False
93,0.95,0.66,0.990816,,4,16,0.001,0.001,0.001,0.1,50,0.0,50,False
94,0.95,0.76,0.990248,,7,16,0.001,0.001,0.001,0.1,50,0.0,50,False
95,0.945,0.64,0.99052,,5,16,0.001,0.001,0.001,0.1,50,0.0,50,False
96,0.948,0.58,0.9903600000000001,,8,16,0.001,0.001,0.001,0.1,50,0.0,50,False
97,0.949,0.62,0.9920360000000001,,2,16,0.001,0.001,0.001,0.1,50,0.0,50,False
98,0.944,0.5,0.9900399999999999,,6,16,0.001,0.001,0.001,0.1,50,0.0,50,False
99,0.95,0.72,0.990812,,1,16,0.001,0.001,0.001,0.1,50,0.0,50,False
100,0.946,0.9387755102040817,0.991016,0.9887387387387387,6,16,0.001,0.001,0.001,0.0,50,0.25,50,False
101,0.943,0.9183673469387755,0.990656,0.9515765765765766,1,16,0.001,0.001,0.001,0.0,50,0.25,50,False
102,0.943,0.9591836734693877,0.990124,0.9932432432432433,5,16,0.001,0.001,0.001,0.0,50,0.25,50,False
103,0.953,0.9591836734693877,0.991276,0.9797297297297298,8,16,0.001,0.001,0.001,0.0,50,0.25,50,False
104,0.951,0.9387755102040817,0.991236,0.9864864864864865,2,16,0.001,0.001,0.001,0.0,50,0.25,50,False
105,0.949,0.9387755102040817,0.990556,0.9617117117117118,7,16,0.001,0.001,0.001,0.0,50,0.25,50,False
106,0.949,0.8367346938775511,0.9909759999999999,0.963963963963964,10,16,0.001,0.001,0.001,0.0,50,0.25,50,False
107,0.951,0.8979591836734694,0.990896,0.9335585585585586,3,16,0.001,0.001,0.001,0.0,50,0.25,50,False
108,0.945,0.8775510204081632,0.990572,0.954954954954955,9,16,0.001,0.001,0.001,0.0,50,0.25,50,False
109,0.941,0.9591836734693877,0.990812,0.9909909909909911,4,16,0.001,0.001,0.001,0.0,50,0.25,50,False
110,0.948,0.54,0.9897440000000001,,7,16,0.001,0.001,0.001,0.5,50,0.0,50,False
111,0.944,0.54,0.9906760000000001,,10,16,0.001,0.001,0.001,0.5,50,0.0,50,False
112,0.943,0.58,0.9897400000000001,,9,16,0.001,0.001,0.001,0.5,50,0.0,50,False
113,0.946,0.58,0.990796,,3,16,0.001,0.001,0.001,0.5,50,0.0,50,False
114,0.949,0.54,0.9905999999999999,,4,16,0.001,0.001,0.001,0.5,50,0.0,50,False
115,0.952,0.52,0.991444,,6,16,0.001,0.001,0.001,0.5,50,0.0,50,False
116,0.95,0.58,0.99092,,1,16,0.001,0.001,0.001,0.5,50,0.0,50,False
117,0.952,0.48,0.9914639999999999,,5,16,0.001,0.001,0.001,0.5,50,0.0,50,False
118,0.943,0.54,0.9896760000000001,,2,16,0.001,0.001,0.001,0.5,50,0.0,50,False
119,0.849,0.72,0.989836,,8,16,0.001,0.001,0.001,0.5,50,0.0,50,False
120,0.941,0.62,0.990012,,5,16,0.001,0.001,0.001,0.1,50,1.0,50,False
121,0.958,0.5,0.992012,,8,16,0.001,0.001,0.001,0.1,50,1.0,50,False
122,0.948,0.58,0.9910239999999999,,2,16,0.001,0.001,0.001,0.1,50,1.0,50,False
123,0.946,0.56,0.990244,,6,16,0.001,0.001,0.001,0.1,50,1.0,50,False
124,0.938,0.56,0.9898399999999999,,1,16,0.001,0.001,0.001,0.1,50,1.0,50,False
125,0.95,0.42,0.991364,,10,16,0.001,0.001,0.001,0.1,50,1.0,50,False
126,0.949,0.7,0.990352,,3,16,0.001,0.001,0.001,0.1,50,1.0,50,False
127,0.948,0.36,0.9902960000000001,,9,16,0.001,0.001,0.001,0.1,50,1.0,50,False
128,0.947,0.54,0.9908399999999999,,4,16,0.001,0.001,0.001,0.1,50,1.0,50,False
129,0.942,0.42,0.9896760000000001,,7,16,0.001,0.001,0.001,0.1,50,1.0,50,False
130,0.946,0.96,0.990408,0.9952,8,16,0.001,0.001,0.001,0.0,50,0.5,50,False
131,0.95,0.8,0.9907199999999999,0.936,2,16,0.001,0.001,0.001,0.0,50,0.5,50,False
132,0.946,0.8,0.990776,0.9584,5,16,0.001,0.001,0.001,0.0,50,0.5,50,False
133,0.957,0.94,0.9912000000000001,0.9952000000000001,1,16,0.001,0.001,0.001,0.0,50,0.5,50,False
134,0.935,0.84,0.989968,0.9664,6,16,0.001,0.001,0.001,0.0,50,0.5,50,False
135,0.95,0.88,0.9915719999999999,0.9904,4,16,0.001,0.001,0.001,0.0,50,0.5,50,False
136,0.95,0.76,0.991024,0.9512,10,16,0.001,0.001,0.001,0.0,50,0.5,50,False
137,0.946,0.92,0.990316,0.9696,3,16,0.001,0.001,0.001,0.0,50,0.5,50,False
138,0.955,0.66,0.992472,0.9663999999999999,9,16,0.001,0.001,0.001,0.0,50,0.5,50,False
139,0.943,0.92,0.990952,0.9624,7,16,0.001,0.001,0.001,0.0,50,0.5,50,False
140,0.947,0.96,0.991012,0.9856,4,16,0.001,0.001,0.001,1.0,50,0.5,50,False
141,0.945,0.92,0.989644,0.9808,10,16,0.001,0.001,0.001,1.0,50,0.5,50,False
142,0.953,0.98,0.99036,1.0,9,16,0.001,0.001,0.001,1.0,50,0.5,50,False
143,0.951,0.94,0.990188,0.9872,3,16,0.001,0.001,0.001,1.0,50,0.5,50,False
144,0.948,0.92,0.990456,0.9808,7,16,0.001,0.001,0.001,1.0,50,0.5,50,False
145,0.951,0.98,0.991076,0.9935999999999999,2,16,0.001,0.001,0.001,1.0,50,0.5,50,False
146,0.944,0.54,0.989432,0.8855999999999999,8,16,0.001,0.001,0.001,1.0,50,0.5,50,False
147,0.95,0.94,0.9906079999999999,0.9952,5,16,0.001,0.001,0.001,1.0,50,0.5,50,False
148,0.95,0.98,0.9909840000000001,0.9967999999999999,1,16,0.001,0.001,0.001,1.0,50,0.5,50,False
149,0.944,0.92,0.9903759999999999,0.9935999999999999,6,16,0.001,0.001,0.001,1.0,50,0.5,50,False
150,0.949,0.7142857142857143,0.991356,0.9707207207207208,9,16,0.001,0.001,0.001,1.0,50,0.25,50,False
151,0.937,0.7142857142857143,0.990024,0.9617117117117118,3,16,0.001,0.001,0.001,1.0,50,0.25,50,False
152,0.938,0.7755102040816326,0.989908,0.9954954954954955,10,16,0.001,0.001,0.001,1.0,50,0.25,50,False
